Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_Hybrid_Entropy,Avg_UCT_Time,Avg_TS_Time,Avg_Hybrid_Time
HexState,11,79,Hybrid,Thompson,Hybrid,49,0,4.417923783294991,4.494917824577868,0,30.063809146483734,30.374824075698854
HexState,11,80,Thompson,Hybrid,Hybrid,74,0,4.235290603610213,4.318658282881271,0,27.905349950532656,27.89185206310169
HexState,11,81,Hybrid,Thompson,Thompson,32,0,4.3975576953505335,4.60981222330134,0,52.414768517017365,33.07463890314102
HexState,11,82,Thompson,Hybrid,Thompson,51,0,4.2684228146702585,4.492248122760883,0,33.46544098854065,34.29979280471802
HexState,11,83,Hybrid,Thompson,Hybrid,49,0,4.427769164462906,4.50890170819451,0,31.26832483212153,31.85235029220581
HexState,11,84,Thompson,Hybrid,Thompson,53,0,4.304659731113596,4.4869574335987,0,33.16544878041303,33.52767136463752
HexState,11,85,Hybrid,Thompson,Hybrid,45,0,4.451551076305297,4.5272549752643725,0,35.32956085421822,35.84316670376322
HexState,11,86,Thompson,Hybrid,Hybrid,56,0,4.394280817246755,4.459238015433067,0,31.555020408970968,31.583150463444845
HexState,11,87,Hybrid,Thompson,Thompson,62,0,4.084738093260475,4.4234331081416025,0,35.096418719137866,36.78116742257149
HexState,11,88,Thompson,Hybrid,Thompson,57,0,4.2136516319165,4.457781955867899,0,29.386604103548773,30.33777653319495
HexState,11,89,Hybrid,Thompson,Hybrid,43,0,4.49743439620145,4.547665871550806,0,37.25705563454401,38.00593122568998
HexState,11,90,Thompson,Hybrid,Thompson,57,0,4.25871465125484,4.468207685142327,0,29.77327194707147,30.136101858956472
HexState,11,91,Hybrid,Thompson,Hybrid,69,0,4.255299955427425,4.330422787598448,0,34.71155879778021,25.627154799870084
HexState,11,92,Thompson,Hybrid,Hybrid,40,0,4.486892143283824,4.541800023614806,0,37.120194947719575,38.08354848623276
HexState,11,93,Hybrid,Thompson,Thompson,34,0,4.321668563791089,4.595633622906534,0,35.01259754685795,35.52437951985527
HexState,11,94,Thompson,Hybrid,Thompson,53,0,4.262962964979321,4.486037780219863,0,35.03117518071775,35.88380190042349
HexState,11,95,Hybrid,Thompson,Hybrid,47,0,4.436389002365482,4.512125136507906,0,28.586542316105056,28.92903657754262
HexState,11,96,Thompson,Hybrid,Thompson,35,0,4.277276056957882,4.586563436632886,0,37.35239456759559,38.98466894205879
HexState,11,97,Hybrid,Thompson,Thompson,50,0,4.218560186192626,4.505341070215548,0,35.34600728988647,36.16436993598938
HexState,11,98,Thompson,Hybrid,Thompson,53,0,4.316284810529807,4.479744111479806,0,35.33784898122152,35.58169683126303
HexState,11,99,Hybrid,Thompson,Thompson,52,0,4.240705035796766,4.492223019390493,0,34.144409408936134,35.49040558704963
HexState,11,100,Thompson,Hybrid,Thompson,55,0,4.214447230246396,4.4672294861512665,0,29.063765951565333,29.536398463779022
